,Unnamed: 0,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender,res_split1,residence_history_in mnths,employment_length_in mnths,purpose_grped,GBFlag,job_grped,credit_history_grped,Age_grped,residence_history_in mnths_grped,employment_length_in mnths_grped,savings_balance_grped,months_loan_duration_grped,checking_balance_grped
173,173,75.0,8,repaid,radio/tv,1414,88.0,3 years,4,single,guarantor,3 months,real estate,33,none,own,1,0,1,,no,skilled employee,male,3.0,3.0,36.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[3, 10)","[0.0, 102.0)"
6,6,0.0,24,repaid,furniture,2835,761.0,11 years,3,single,none,12 years,building society savings,53,none,own,1,0,1,,yes,skilled employee,male,12.0,144.0,132.0,furniture,Good,skilled employee,delayed/repaid,"[53, 76)","[132.0, 240.0)","[84.0, inf)","[155.0, inf)","[19, 31)","[-15.0, 0.0)"
745,745,-43.0,13,critical,business,1797,17.0,10 months,3,single,none,,building society savings,28,bank,own,2,0,1,,yes,unskilled resident,male,,-500.0,10.0,Others,Good,unskilled resident,critical,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[10, 16)","[-inf, -15.0)"
478,478,174.0,12,repaid,business,1037,126.0,5 years,3,single,none,12 years,real estate,39,none,own,1,0,1,,yes,unskilled resident,male,12.0,144.0,60.0,Others,Good,unskilled resident,delayed/repaid,"[34, 40)","[132.0, 240.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[102.0, inf)"
73,73,176.0,42,critical,business,5954,13.0,4 years,2,single,none,,real estate,41,bank,own,2,0,1,,yes,unskilled resident,female,,-500.0,48.0,Others,Good,unskilled resident,critical,"[40, 45)","[-inf, 2.0)","[36.0, 84.0)","[1.0, 31.0)","[37, 73)","[102.0, inf)"
910,910,0.0,36,delayed,radio/tv,4454,13.0,1 years,4,single,none,18 years,real estate,34,none,own,2,0,1,,yes,skilled employee,female,18.0,216.0,12.0,domestic appliance,Good,skilled employee,delayed/repaid,"[34, 40)","[132.0, 240.0)","[3.0, 24.0)","[1.0, 31.0)","[31, 37)","[-15.0, 0.0)"
813,813,-16.0,48,repaid,domestic appliances,3051,29.0,2 years,3,single,none,16 years,other,54,none,own,1,1,1,,yes,skilled employee,male,16.0,192.0,24.0,domestic appliance,Bad,skilled employee,delayed/repaid,"[53, 76)","[132.0, 240.0)","[3.0, 24.0)","[1.0, 31.0)","[37, 73)","[-inf, -15.0)"
238,238,0.0,12,critical,radio/tv,1291,90.0,3 years,4,single,none,0 months,building society savings,35,none,own,2,0,1,,yes,skilled employee,female,0.0,0.0,36.0,domestic appliance,Good,skilled employee,critical,"[34, 40)","[-inf, 2.0)","[24.0, 36.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
145,145,40.0,48,fully repaid this bank,business,3566,416.0,7 years,4,single,none,0 months,other,30,none,own,1,0,1,,yes,skilled employee,male,0.0,0.0,84.0,Others,Good,skilled employee,fully repaid,"[24, 34)","[-inf, 2.0)","[36.0, 84.0)","[155.0, inf)","[37, 73)","[0.0, 102.0)"
792,792,0.0,6,critical,furniture,1221,0.0,2 years,1,married,none,2 months,building society savings,27,none,own,2,0,1,,yes,skilled employee,male,2.0,2.0,24.0,furniture,Good,skilled employee,critical,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[0.0, 1.0)","[3, 10)","[-15.0, 0.0)"
234,234,0.0,4,critical,radio/tv,1544,99.0,5 years,2,single,none,,real estate,42,none,own,3,0,2,,yes,unskilled resident,male,,-500.0,60.0,domestic appliance,Good,unskilled resident,critical,"[40, 45)","[-inf, 2.0)","[36.0, 84.0)","[31.0, 155.0)","[3, 10)","[-15.0, 0.0)"
220,220,128.0,12,repaid,radio/tv,625,30.0,5 months,4,married,guarantor,,real estate,26,bank,own,1,0,1,,yes,unskilled resident,male,,-500.0,5.0,domestic appliance,Good,unskilled resident,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[10, 16)","[102.0, inf)"
923,923,24.0,12,repaid,car (new),2002,59.0,6 years,3,single,none,16 years,building society savings,30,none,rent,1,0,2,2345784309.0,yes,skilled employee,male,16.0,192.0,72.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[132.0, 240.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[0.0, 102.0)"
500,500,-4.0,24,repaid,car (new),3123,60.0,2 months,4,single,none,,building society savings,27,none,own,1,1,1,,yes,skilled employee,female,,-500.0,2.0,Car,Bad,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[-inf, 3.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
132,132,0.0,15,repaid,furniture,2708,94.0,3 months,2,single,none,2 years,building society savings,27,bank,own,2,0,1,,yes,unskilled resident,male,2.0,24.0,3.0,furniture,Good,unskilled resident,delayed/repaid,"[24, 34)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
990,990,0.0,12,critical,education,3565,0.0,5 months,2,single,none,,building society savings,37,none,own,2,0,2,,yes,unskilled resident,male,,-500.0,5.0,education,Good,unskilled resident,critical,"[34, 40)","[-inf, 2.0)","[3.0, 24.0)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
774,774,641.0,12,critical,car (new),1480,707.0,,2,single,none,18 years,unknown/none,66,bank,for free,3,0,1,,yes,unemployed non-resident,male,18.0,216.0,-500.0,Car,Good,Others,critical,"[53, 76)","[132.0, 240.0)","[-inf, 3.0)","[155.0, inf)","[10, 16)","[102.0, inf)"
185,185,0.0,15,critical,radio/tv,1360,24.0,1 years,4,single,none,2 months,building society savings,31,none,own,2,0,1,,yes,skilled employee,male,2.0,2.0,12.0,domestic appliance,Good,skilled employee,critical,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[10, 16)","[-15.0, 0.0)"
41,41,162.0,12,repaid,radio/tv,1158,641.0,2 years,3,divorced,none,,other,26,none,own,1,0,1,2343032970.0,yes,skilled employee,male,,-500.0,24.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[155.0, inf)","[10, 16)","[102.0, inf)"
696,696,151.0,12,repaid,radio/tv,1103,92.0,5 years,4,single,guarantor,2 years,real estate,29,none,own,2,0,1,,no,skilled employee,male,2.0,24.0,60.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[102.0, inf)"
108,108,-27.0,24,repaid,furniture,7721,0.0,2 months,1,single,none,11 months,building society savings,30,none,own,1,0,1,2347727486.0,no,skilled employee,female,11.0,11.0,2.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[-inf, 3.0)","[0.0, 1.0)","[19, 31)","[-inf, -15.0)"
588,588,-31.0,18,repaid,domestic appliances,1217,1.0,3 years,4,married,none,3 years,real estate,47,none,own,1,1,1,2344960836.0,yes,unskilled resident,male,3.0,36.0,36.0,domestic appliance,Bad,unskilled resident,delayed/repaid,"[45, 53)","[2.0, 132.0)","[24.0, 36.0)","[0.0, 1.0)","[16, 19)","[-inf, -15.0)"
56,56,3.0,12,repaid,radio/tv,6468,0.0,,2,single,none,,unknown/none,52,none,own,1,1,1,2349011922.0,yes,mangement self-employed,male,,-500.0,-500.0,domestic appliance,Bad,Others,delayed/repaid,"[45, 53)","[-inf, 2.0)","[-inf, 3.0)","[0.0, 1.0)","[10, 16)","[0.0, 102.0)"
405,405,67.0,24,repaid,radio/tv,2039,20.0,11 months,1,married,none,,building society savings,22,none,own,1,1,1,2347264583.0,yes,skilled employee,male,,-500.0,11.0,domestic appliance,Bad,skilled employee,delayed/repaid,"[18, 24)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[19, 31)","[0.0, 102.0)"
442,442,110.0,20,delayed,others,2629,40.0,2 years,2,single,none,2 years,other,29,bank,own,2,0,1,2348724903.0,yes,skilled employee,male,2.0,24.0,24.0,Others,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[19, 31)","[102.0, inf)"
757,757,997.0,15,critical,radio/tv,1271,0.0,2 years,3,single,none,6 years,unknown/none,39,none,for free,2,1,1,2347430636.0,yes,skilled employee,male,6.0,72.0,24.0,domestic appliance,Bad,skilled employee,critical,"[34, 40)","[2.0, 132.0)","[3.0, 24.0)","[0.0, 1.0)","[10, 16)","[102.0, inf)"
997,997,0.0,12,repaid,radio/tv,804,44.0,13 years,4,single,none,16 years,other,38,none,own,1,0,1,,yes,skilled employee,male,16.0,192.0,156.0,domestic appliance,Good,skilled employee,delayed/repaid,"[34, 40)","[132.0, 240.0)","[84.0, inf)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
24,24,0.0,10,critical,furniture,2069,0.0,2 years,2,married,none,,other,26,none,own,2,0,1,,no,skilled employee,male,,-500.0,24.0,furniture,Good,skilled employee,critical,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
467,467,0.0,48,delayed,radio/tv,7238,0.0,12 years,3,single,none,1 years,other,32,bank,own,2,0,2,,yes,skilled employee,male,1.0,12.0,144.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[84.0, inf)","[0.0, 1.0)","[37, 73)","[-15.0, 0.0)"
539,539,782.0,18,repaid,furniture,3049,5.0,7 months,1,single,none,,building society savings,45,stores,own,1,0,1,,yes,unskilled resident,female,,-500.0,7.0,furniture,Good,unskilled resident,delayed/repaid,"[45, 53)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[16, 19)","[102.0, inf)"
531,531,192.0,15,repaid,car (new),2631,214.0,3 years,2,single,none,17 years,other,28,none,rent,2,1,1,2345191471.0,yes,skilled employee,female,17.0,204.0,36.0,Car,Bad,skilled employee,delayed/repaid,"[24, 34)","[132.0, 240.0)","[24.0, 36.0)","[155.0, inf)","[10, 16)","[102.0, inf)"
618,618,94.0,30,repaid,furniture,3441,315.0,1 years,2,single,co-applicant,17 years,other,21,none,rent,1,1,1,,yes,skilled employee,female,17.0,204.0,12.0,furniture,Bad,skilled employee,delayed/repaid,"[18, 24)","[132.0, 240.0)","[3.0, 24.0)","[155.0, inf)","[19, 31)","[0.0, 102.0)"
694,694,0.0,24,repaid,radio/tv,2284,57.0,6 years,4,single,none,11 months,other,28,none,own,1,0,1,2340959716.0,yes,skilled employee,male,11.0,11.0,72.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
926,926,-46.0,18,critical,furniture,1049,28.0,1 months,4,single,none,17 years,building society savings,21,none,rent,1,0,1,,yes,skilled employee,female,17.0,204.0,1.0,furniture,Good,skilled employee,critical,"[18, 24)","[132.0, 240.0)","[-inf, 3.0)","[1.0, 31.0)","[16, 19)","[-inf, -15.0)"
338,338,-40.0,24,repaid,furniture,4169,81.0,3 years,4,single,none,5 years,building society savings,28,none,own,1,0,1,,yes,skilled employee,male,5.0,60.0,36.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[19, 31)","[-inf, -15.0)"
51,51,39.0,27,delayed,car (used),5965,78.0,18 years,1,single,none,2 months,other,30,none,own,2,0,1,2348786695.0,yes,mangement self-employed,male,2.0,2.0,216.0,Car,Good,Others,delayed/repaid,"[24, 34)","[-inf, 2.0)","[84.0, inf)","[31.0, 155.0)","[19, 31)","[0.0, 102.0)"
507,507,190.0,15,fully repaid this bank,car (new),6850,219.0,,1,single,none,7 months,building society savings,34,none,own,1,1,2,2344936130.0,yes,mangement self-employed,male,7.0,7.0,-500.0,Car,Bad,Others,fully repaid,"[34, 40)","[2.0, 132.0)","[-inf, 3.0)","[155.0, inf)","[10, 16)","[102.0, inf)"
516,516,-38.0,6,critical,car (new),1361,19.0,9 months,2,single,none,13 years,real estate,40,none,own,1,0,2,,no,unskilled resident,male,13.0,156.0,9.0,Car,Good,unskilled resident,critical,"[40, 45)","[132.0, 240.0)","[3.0, 24.0)","[1.0, 31.0)","[3, 10)","[-inf, -15.0)"
920,920,0.0,18,critical,furniture,1817,27.0,3 years,4,single,none,4 months,unknown/none,28,none,own,2,0,1,,yes,skilled employee,female,4.0,4.0,36.0,furniture,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[1.0, 31.0)","[16, 19)","[-15.0, 0.0)"
781,781,0.0,24,critical,car (new),1940,4619.0,15 years,4,single,none,24 years,real estate,60,none,own,1,0,1,2343419840.0,yes,skilled employee,male,24.0,288.0,180.0,Car,Good,skilled employee,critical,"[53, 76)","[240.0, inf)","[84.0, inf)","[155.0, inf)","[19, 31)","[-15.0, 0.0)"
264,264,0.0,10,critical,car (new),1231,32.0,7 years,3,single,none,10 years,real estate,32,none,own,2,0,2,,no,unskilled resident,male,10.0,120.0,84.0,Car,Good,unskilled resident,critical,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
817,817,0.0,6,critical,radio/tv,1554,45.0,6 years,1,single,none,3 months,other,24,none,rent,2,0,1,2349540412.0,yes,skilled employee,female,3.0,3.0,72.0,domestic appliance,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[3, 10)","[-15.0, 0.0)"
710,710,0.0,18,critical,radio/tv,629,922.0,7 years,4,single,none,4 years,building society savings,32,bank,own,2,0,1,2341260300.0,yes,mangement self-employed,male,4.0,48.0,84.0,domestic appliance,Good,Others,critical,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[155.0, inf)","[16, 19)","[-15.0, 0.0)"
682,682,0.0,15,delayed,radio/tv,1478,48.0,3 years,4,married,none,1 years,real estate,33,bank,own,2,0,1,,yes,skilled employee,male,1.0,12.0,36.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
832,832,-43.0,45,fully repaid,business,11816,67.0,12 years,2,single,none,23 years,other,29,none,rent,2,1,1,,yes,skilled employee,male,23.0,276.0,144.0,Others,Bad,skilled employee,fully repaid,"[24, 34)","[240.0, inf)","[84.0, inf)","[31.0, 155.0)","[37, 73)","[-inf, -15.0)"
518,518,-22.0,6,repaid,car (new),1203,199.0,12 years,3,single,none,10 months,building society savings,43,none,own,1,0,1,2342926088.0,yes,skilled employee,male,10.0,10.0,144.0,Car,Good,skilled employee,delayed/repaid,"[40, 45)","[2.0, 132.0)","[84.0, inf)","[155.0, inf)","[3, 10)","[-inf, -15.0)"
447,447,82.0,7,repaid,radio/tv,2576,18.0,3 years,2,single,guarantor,1 months,real estate,35,none,own,1,0,1,,yes,skilled employee,male,1.0,1.0,36.0,domestic appliance,Good,skilled employee,delayed/repaid,"[34, 40)","[-inf, 2.0)","[24.0, 36.0)","[1.0, 31.0)","[3, 10)","[0.0, 102.0)"
18,18,83.0,24,repaid,car (used),12579,16.0,17 years,4,single,none,8 months,unknown/none,44,none,for free,1,1,1,2340724318.0,yes,mangement self-employed,female,8.0,8.0,204.0,Car,Bad,Others,delayed/repaid,"[40, 45)","[2.0, 132.0)","[84.0, inf)","[1.0, 31.0)","[19, 31)","[0.0, 102.0)"
715,715,0.0,30,critical,car (used),7596,0.0,9 years,1,single,none,17 years,other,63,none,own,2,0,1,,yes,skilled employee,male,17.0,204.0,108.0,Car,Good,skilled employee,critical,"[53, 76)","[132.0, 240.0)","[84.0, inf)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
483,483,0.0,15,delayed,furniture,960,16242.0,4 years,3,single,none,2 months,building society savings,30,none,own,2,0,1,,yes,skilled employee,female,2.0,2.0,48.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[36.0, 84.0)","[155.0, inf)","[10, 16)","[-15.0, 0.0)"
568,568,38.0,48,repaid,radio/tv,3979,0.0,6 years,4,single,none,,other,41,none,own,2,0,2,2344812469.0,yes,skilled employee,male,,-500.0,72.0,domestic appliance,Good,skilled employee,delayed/repaid,"[40, 45)","[-inf, 2.0)","[36.0, 84.0)","[0.0, 1.0)","[37, 73)","[0.0, 102.0)"
433,433,0.0,24,critical,repairs,2058,71.0,3 years,4,divorced,none,7 months,real estate,33,none,own,2,0,1,2348795709.0,yes,skilled employee,male,7.0,7.0,36.0,Others,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
367,367,-14.0,18,repaid,furniture,3650,15.0,2 months,1,single,none,8 years,other,22,none,rent,1,0,1,,yes,skilled employee,female,8.0,96.0,2.0,furniture,Good,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[-inf, 3.0)","[1.0, 31.0)","[16, 19)","[-15.0, 0.0)"
83,83,-13.0,24,repaid,others,1755,29.0,14 years,4,single,guarantor,18 years,real estate,58,none,own,1,0,1,2348993166.0,yes,unskilled resident,female,18.0,216.0,168.0,Others,Good,unskilled resident,delayed/repaid,"[53, 76)","[132.0, 240.0)","[84.0, inf)","[1.0, 31.0)","[19, 31)","[-15.0, 0.0)"
61,61,184.0,15,critical,radio/tv,1537,0.0,18 years,4,single,guarantor,11 years,real estate,50,none,own,2,0,1,2348595204.0,yes,skilled employee,male,11.0,132.0,216.0,domestic appliance,Good,skilled employee,critical,"[45, 53)","[2.0, 132.0)","[84.0, inf)","[0.0, 1.0)","[10, 16)","[102.0, inf)"
638,638,0.0,12,repaid,radio/tv,1493,89.0,3 months,4,single,none,2 years,other,34,none,own,1,0,2,,yes,skilled employee,female,2.0,24.0,3.0,domestic appliance,Good,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
272,272,90.0,48,fully repaid this bank,car (new),12169,0.0,,4,single,co-applicant,10 years,unknown/none,36,none,for free,1,0,1,2341256945.0,yes,mangement self-employed,male,10.0,120.0,-500.0,Car,Good,Others,fully repaid,"[34, 40)","[2.0, 132.0)","[-inf, 3.0)","[0.0, 1.0)","[37, 73)","[0.0, 102.0)"
285,285,-24.0,47,repaid,car (new),10722,83.0,1 months,1,single,none,,real estate,35,none,own,1,0,1,2342379549.0,yes,unskilled resident,female,,-500.0,1.0,Car,Good,unskilled resident,delayed/repaid,"[34, 40)","[-inf, 2.0)","[-inf, 3.0)","[31.0, 155.0)","[37, 73)","[-inf, -15.0)"
360,360,24.0,18,repaid,education,1239,0.0,2 years,4,single,none,20 years,unknown/none,61,none,for free,1,0,1,,yes,skilled employee,male,20.0,240.0,24.0,education,Good,skilled employee,delayed/repaid,"[53, 76)","[132.0, 240.0)","[3.0, 24.0)","[0.0, 1.0)","[16, 19)","[0.0, 102.0)"
354,354,0.0,10,repaid,education,727,555.0,10 years,4,single,none,15 years,unknown/none,46,none,for free,1,0,1,2346280065.0,yes,skilled employee,male,15.0,180.0,120.0,education,Good,skilled employee,delayed/repaid,"[45, 53)","[132.0, 240.0)","[84.0, inf)","[155.0, inf)","[10, 16)","[-15.0, 0.0)"
456,456,-8.0,11,critical,car (new),3905,96.0,1 years,2,single,none,11 months,real estate,36,none,rent,2,0,2,,yes,skilled employee,male,11.0,11.0,12.0,Car,Good,skilled employee,critical,"[34, 40)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
278,278,0.0,6,repaid,furniture,4611,28.0,0 months,1,single,none,12 years,building society savings,32,none,own,1,1,1,,yes,skilled employee,female,12.0,144.0,0.0,furniture,Bad,skilled employee,delayed/repaid,"[24, 34)","[132.0, 240.0)","[-inf, 3.0)","[1.0, 31.0)","[3, 10)","[-15.0, 0.0)"
12,12,23.0,12,repaid,radio/tv,1567,48.0,2 years,1,single,none,,other,22,none,own,1,0,1,2343498747.0,yes,skilled employee,female,,-500.0,24.0,domestic appliance,Good,skilled employee,delayed/repaid,"[18, 24)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[10, 16)","[0.0, 102.0)"
182,182,-42.0,21,fully repaid this bank,car (new),1647,0.0,1 years,4,single,none,3 months,building society savings,40,none,own,2,1,2,,yes,unskilled resident,male,3.0,3.0,12.0,Car,Bad,unskilled resident,fully repaid,"[40, 45)","[2.0, 132.0)","[3.0, 24.0)","[0.0, 1.0)","[19, 31)","[-inf, -15.0)"
368,368,-40.0,36,repaid,furniture,3446,88.0,16 years,4,single,none,6 months,other,42,none,own,1,1,2,,yes,skilled employee,male,6.0,6.0,192.0,furniture,Bad,skilled employee,delayed/repaid,"[40, 45)","[2.0, 132.0)","[84.0, inf)","[31.0, 155.0)","[31, 37)","[-inf, -15.0)"
881,881,0.0,24,repaid,car (used),9277,0.0,3 years,2,divorced,none,17 years,unknown/none,48,none,for free,1,0,1,2341318432.0,yes,skilled employee,male,17.0,204.0,36.0,Car,Good,skilled employee,delayed/repaid,"[45, 53)","[132.0, 240.0)","[24.0, 36.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
615,615,179.0,48,fully repaid,business,12204,0.0,1 years,2,single,none,9 months,other,48,bank,own,1,0,1,2340188514.0,yes,mangement self-employed,male,9.0,9.0,12.0,Others,Good,Others,fully repaid,"[45, 53)","[2.0, 132.0)","[3.0, 24.0)","[0.0, 1.0)","[37, 73)","[102.0, inf)"
223,223,0.0,24,delayed,business,2978,0.0,2 years,4,single,none,16 years,real estate,32,none,own,2,0,2,2345883868.0,yes,skilled employee,male,16.0,192.0,24.0,Others,Good,skilled employee,delayed/repaid,"[24, 34)","[132.0, 240.0)","[3.0, 24.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
572,572,0.0,24,repaid,car (used),5433,0.0,,2,single,none,6 years,building society savings,26,none,rent,1,0,1,2349547733.0,yes,mangement self-employed,female,6.0,72.0,-500.0,Car,Good,Others,delayed/repaid,"[24, 34)","[2.0, 132.0)","[-inf, 3.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
970,970,112.0,15,repaid,repairs,1514,421.0,3 years,4,single,guarantor,2 months,real estate,22,none,own,1,0,1,,yes,skilled employee,male,2.0,2.0,36.0,Others,Good,skilled employee,delayed/repaid,"[18, 24)","[-inf, 2.0)","[24.0, 36.0)","[155.0, inf)","[10, 16)","[102.0, inf)"
653,653,90.0,36,delayed,car (new),8086,440.0,8 years,2,single,none,12 years,other,42,none,own,4,1,1,2348477227.0,yes,mangement self-employed,male,12.0,144.0,96.0,Car,Bad,Others,delayed/repaid,"[40, 45)","[132.0, 240.0)","[84.0, inf)","[155.0, inf)","[31, 37)","[0.0, 102.0)"
545,545,-8.0,24,delayed,car (new),1333,38.0,,4,single,none,11 months,real estate,43,none,for free,2,1,2,,yes,skilled employee,male,11.0,11.0,-500.0,Car,Bad,skilled employee,delayed/repaid,"[40, 45)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
582,582,0.0,9,repaid,furniture,1388,30.0,1 years,4,single,none,6 months,real estate,26,none,rent,1,0,1,,yes,skilled employee,female,6.0,6.0,12.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[1.0, 31.0)","[3, 10)","[-15.0, 0.0)"
633,633,0.0,9,repaid,furniture,1980,31.0,11 months,2,single,co-applicant,3 months,other,19,none,rent,2,1,1,,yes,skilled employee,female,3.0,3.0,11.0,furniture,Bad,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[3.0, 24.0)","[1.0, 31.0)","[3, 10)","[-15.0, 0.0)"
176,176,-5.0,12,repaid,furniture,2577,14.0,2 years,2,divorced,none,,other,42,none,own,1,0,1,,yes,skilled employee,male,,-500.0,24.0,furniture,Good,skilled employee,delayed/repaid,"[40, 45)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[10, 16)","[-15.0, 0.0)"
665,665,0.0,24,critical,others,6314,77.0,,4,single,co-applicant,7 months,unknown/none,27,bank,own,2,0,1,2349386102.0,yes,mangement self-employed,male,7.0,7.0,-500.0,Others,Good,Others,critical,"[24, 34)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
673,673,0.0,6,critical,car (new),2080,597.0,2 years,1,married,none,7 months,other,24,none,own,1,0,1,,yes,skilled employee,male,7.0,7.0,24.0,Car,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[3, 10)","[-15.0, 0.0)"
585,585,-41.0,18,repaid,furniture,2039,0.0,3 years,1,single,none,9 years,real estate,20,bank,rent,1,1,1,,yes,skilled employee,female,9.0,108.0,36.0,furniture,Bad,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[24.0, 36.0)","[0.0, 1.0)","[16, 19)","[-inf, -15.0)"
873,873,0.0,15,repaid,domestic appliances,874,0.0,3 months,4,single,none,,real estate,24,none,own,1,0,1,,yes,skilled employee,female,,-500.0,3.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[-inf, 3.0)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
393,393,-44.0,6,critical,radio/tv,1957,57.0,4 years,1,single,none,22 years,other,31,none,own,1,0,1,,yes,skilled employee,female,22.0,264.0,48.0,domestic appliance,Good,skilled employee,critical,"[24, 34)","[240.0, inf)","[36.0, 84.0)","[31.0, 155.0)","[3, 10)","[-inf, -15.0)"
163,163,196.0,10,repaid,car (new),7308,30.0,,2,single,none,24 years,unknown/none,70,bank,for free,1,0,1,2349246054.0,yes,mangement self-employed,male,24.0,288.0,-500.0,Car,Good,Others,delayed/repaid,"[53, 76)","[240.0, inf)","[-inf, 3.0)","[1.0, 31.0)","[10, 16)","[102.0, inf)"
248,248,425.0,24,repaid,furniture,1925,27.0,1 years,2,single,none,9 months,real estate,26,none,own,1,0,1,,yes,skilled employee,male,9.0,9.0,12.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[1.0, 31.0)","[19, 31)","[102.0, inf)"
634,634,51.0,24,repaid,car (new),1355,56.0,11 months,3,single,none,14 years,other,25,none,own,1,1,1,2348743348.0,yes,unskilled resident,female,14.0,168.0,11.0,Car,Bad,unskilled resident,delayed/repaid,"[24, 34)","[132.0, 240.0)","[3.0, 24.0)","[31.0, 155.0)","[19, 31)","[0.0, 102.0)"
885,885,-48.0,12,repaid,education,795,53.0,2 months,4,single,none,7 years,building society savings,53,none,own,1,1,1,,yes,skilled employee,female,7.0,84.0,2.0,education,Bad,skilled employee,delayed/repaid,"[53, 76)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[10, 16)","[-inf, -15.0)"
669,669,276.0,30,critical,radio/tv,3017,60.0,19 years,4,single,none,21 years,building society savings,47,none,own,1,0,1,,yes,skilled employee,male,21.0,252.0,228.0,domestic appliance,Good,skilled employee,critical,"[45, 53)","[240.0, inf)","[84.0, inf)","[31.0, 155.0)","[19, 31)","[102.0, inf)"
